sepal_length,sepal_width,petal_length,petal_width,species,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0083,0.9632,0.0285
6.9,3.1,5.1,2.3,virginica,0.0141,0.0233,0.9626
5.1,2.5,3.0,1.1,versicolor,0.035,0.9479,0.0172
4.4,2.9,,0.2,setosa,0.5076,0.39,0.1024
5.9,3.0,5.1,1.8,virginica,0.0134,0.2273,0.7593
5.5,3.5,1.3,0.2,setosa,0.959,0.0232,0.0178
5.6,,3.6,1.3,versicolor,0.038,0.9506,0.0114
6.5,3.0,5.2,2.0,virginica,0.0101,0.0387,0.9511
5.3,3.7,1.5,0.2,setosa,0.9657,0.0187,0.0155
5.1,3.4,1.5,,setosa,0.7705,0.1666,0.0628
6.1,2.8,4.0,1.3,versicolor,0.0132,0.9778,0.009
5.5,2.4,3.7,1.0,versicolor,0.0138,0.9769,0.0093
7.7,3.0,6.1,2.3,virginica,0.0248,0.0285,0.9467
6.9,3.1,4.9,1.5,versicolor,0.0206,0.7147,0.2648
6.0,2.2,5.0,1.5,versicolor,0.0217,0.5114,0.4669
